,name,height,weight
0,Alex,1.67,51.25
1,Ajay,1.82,61.91
2,Alice,1.76,69.41
3,Ravi,1.73,64.56
4,Joe,1.72,65.45
5,Alex,1.67,51.25
6,Ajay,1.82,61.91
7,Alice,1.76,69.41
8,Ravi,1.73,64.56
9,Joe,1.72,65.45
10,Alex,1.67,51.25
11,Ajay,1.82,61.91
12,Alice,1.76,69.41
13,Ravi,1.73,64.56
14,Joe,1.72,65.45
15,Jack,1.74,55.93
16,Tom,1.77,64.18
17,Tracy,1.78,61.9
18,John,1.72,50.97
19,Jack,1.74,55.93
20,Tom,1.77,64.18
21,Tracy,1.78,61.9
22,John,1.72,50.97
23,Jack,1.74,55.93
24,Tom,1.77,64.18
25,Tracy,1.78,61.9
26,John,1.72,50.97
27,Simon,1.72,50.97
28,Jacob,1.7,54.73
29,Cindy,1.69,57.81
30,Ivan,1.72,51.77
31,Simon,1.72,50.97
32,Jacob,1.7,54.73
33,Cindy,1.69,57.81
34,Ivan,1.72,51.77
35,Simon,1.72,50.97
36,Jacob,1.7,54.73
37,Cindy,1.69,57.81
38,Ivan,1.72,51.77
